,Index,X/De,Me,M2,P2/Pt,T2/Tt,P1/Pt
0,0,0.4499999999999997,1.392036409738363,0.752167292134785,0.6939101088965823,0.9921973502082033,0.3820661157024794
1,1,0.5799999999999996,1.5068909518999085,0.6517847827936196,0.8857837502252328,0.9969660360282283,0.3681728024042074
2,2,0.6299999999999997,1.621745494061454,0.6242175858504175,0.8447091341344701,0.99694053078795,0.3206675549446
3,3,0.7000000000000001,1.7366000362229994,0.5834758517043127,0.7849687444687913,0.9960383192181989,0.2592689941867206
4,4,0.7800000000000006,1.851454578384545,0.5429038570519091,0.7083991025419263,0.9933946397714057,0.202059309151737
5,5,0.840000000000001,1.9663091205460905,0.51690462077044,0.6368789433625359,0.9930486379971567,0.16376012189668596
6,6,0.9100000000000014,2.081163662707636,0.48724069023885735,0.5542030302723634,0.99237271894129,0.12580409112740887
7,7,0.9800000000000018,2.1960182048691816,0.4625275262589478,0.47856765483436653,0.9887790146291509,0.09767542173753971
8,8,1.0400000000000025,2.310872747030727,0.4412596362289069,0.4070298670293082,0.9877110419958278,0.07514194321023716
9,9,1.1000000000000023,2.4257272891922725,0.42346951230867025,0.34160143891135786,0.9875609850016149,0.05763915268553639
10,10,1.1600000000000028,2.540581831353818,0.4054307514760444,0.2819938509543336,0.9878603904986472,0.04323702114973749
11,11,1.2200000000000033,2.6554363735153634,0.38748170013110844,0.22752367648267283,0.9807229123474013,0.031866917305685784
12,12,1.290000000000003,2.7702909156769087,0.3729099348270665,0.1827305127500066,0.9795397742815514,0.023528841153381146
13,13,1.3500000000000023,2.8851454578384543,0.3610424681642666,0.14708204080088433,0.9859286196102824,0.017464785769886877
14,14,1.410000000000002,3.0,0.3477639790426164,0.11087453968020958,0.9809553700256731,0.012158737309329445
