,Index,X/De,Me,M2,P2/Pt,P1/Pt
0,0,0.005,1.008169128742484,1.0,0.5106212424849699,0.5106212424849699
1,1,0.3100000000000001,1.186157048118021,0.8537057803025782,0.6016531238996319,0.4112995931743246
2,2,0.4599999999999992,1.3641449674935577,0.7555389233184769,0.6509357336821522,0.3250201806418448
3,3,0.5849999999999984,1.5421328868690947,0.6855884667505171,0.6636592847965533,0.2533210519254983
4,4,0.6999999999999981,1.7201208062446316,0.6336373247778424,0.6465991930541904,0.19510848468717468
5,5,0.8099999999999989,1.8981087256201685,0.593854796976593,0.6095017290266707,0.14919024115757346
6,6,0.9149999999999998,2.0760966449957055,0.5626570132619555,0.5603604670355253,0.1135738970038502
7,7,1.020000000000001,2.254084564371242,0.5377170569047618,0.505175709660605,0.08621475439905955
8,8,1.1200000000000014,2.4320724837467793,0.5174591290341632,0.44845959325412066,0.06535159869580322
9,9,1.215000000000002,2.610060403122316,0.5007798289116137,0.3936685987643692,0.04956701399634617
10,10,1.3150000000000028,2.788048322497853,0.4868852233416484,0.3429924306244688,0.03769489927843844
11,11,1.4100000000000037,2.9660362418733897,0.47519096331149147,0.2965442096061413,0.028697826736078198
12,12,1.5100000000000044,3.144024161248926,0.4652586145622824,0.25583981719073373,0.021970630149097788
13,13,1.605000000000005,3.3220120806244635,0.456753729664532,0.22005037122528298,0.01688401706928297
14,14,1.700000000000006,3.5,0.4494174665962355,0.1890606573397645,0.013039904733865574
