,Index,X/De,Me,M2,P2/Pt,T2/Tt,P1/Pt
0,0,1.465000000000004,3.1,0.4722892306152796,0.25796394391990435,0.9592098773364118,0.02345126762908221
1,1,1.5200000000000045,3.2,0.46430524447389415,0.2389519111522243,0.9558940339662025,0.020284921757399054
2,2,1.570000000000005,3.3000000000000003,0.46185188244139663,0.21545970714536375,0.9563390320424116,0.01724299026181354
3,3,1.6200000000000052,3.4000000000000004,0.45535409936961296,0.20198004039868184,0.9574321536377323,0.015173564472723956
4,4,1.6750000000000058,3.5,0.4515458608517578,0.18501889502769053,0.9579952262814624,0.013104138683634374
5,5,1.725000000000006,3.6,0.4509779971228639,0.16442716331150528,0.9577140325571842,0.011034712894544791
6,6,1.7800000000000065,3.7,0.4435125684613953,0.158018018018018,0.9593498468558099,0.01
