,Index,X/De,Me,M2,P2/Pt,T2/Tt
0,0,1.6700000000000002,3.5,0.4533927128416208,0.18668080355484265,0.9645929520906933
1,1,1.7399999999999995,3.625,0.4491251444281639,0.16712155847992632,0.9652919906917713
2,2,1.7999999999999992,3.75,0.4441490397871016,0.1520618053081813,0.965880731799072
3,3,1.8699999999999983,3.875,0.4434217369857441,0.1334958184405439,0.9681607323119582
4,4,1.9299999999999984,4.0,0.43801415262577753,0.12239545551679602,0.9689134416296761
